barcode,brand,colors,pattern,occasion,more_attributes,category,style,material,tops_fit,sleeve_type,tops_length,overclothes_closure,blazer_neckline_type,underarm_sleeve_length,neckline_type,sleeve_length,heels_height,overclothes_neckline_type,overclothes_type,waist_type,bottoms_length,skirt_type,skirt_length,bottoms_fit,jumpsuit_length,overclothes-sleeveless_type,poncho_type,slippers-shoe_type,sportswear_type,sweatshirt_type,tank_type,bottoms_type
tensor(48745303030101),RAPHAELA by BRAX,multicolor,,casual,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50424001030101),Tommy Hilfiger,white,,casual,Not Known,dress,casual,cotton,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49761302050101),GERRY WEBER,ecru,plain,casual,,blouse,casual,cotton,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51265801040101),Caroline Biss,multicolor,,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50566401050101),Caroline Biss,multicolor,leaf,dating;summer,Not Known,skirt,casual,cotton,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49826101010301),Scotch & Soda,,plain,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48522501030101),King Louie,,,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50067601040101),Marc Cain Pants,navy,,casual,Not Known,jeans,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48786001050101),Rabe,multicolor,,casual;home-lounge,Not Known,sweater,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,crew-neck,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48357401080101),Xandres Gold,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48759802040101),Marc Cain,,,casual,Not Known,Not Known,casual,Not Known,oversized-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51050901050101),Rabe,white,,casual,,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50759301030101),CKS,multicolor,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49022301020201),Tommy Hilfiger,,,casual;dating,Not Known,dress,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50415201050101),Joseph Ribkoff,,plain,casual,Not Known,Not Known,casual,Not Known,oversized-tops,dolman-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(47949901020101),Fabienne Chapot,ecru,animals;text-print,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,crew-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51215501020101),VERO MODA,black,vertical-stripes,casual,Not Known,Not Known,casual,cotton,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48337601030101),Xandres,green,plain,casual,Not Known,dress,casual,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49181601030101),Xandres,,,casual;semi-formal,Not Known,trousers_and_chinos,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48173601040101),Street One,black,,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48808802050101),Rabe,,plain,casual,Not Known,jeans,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(49194501030101),Xandres,multicolor,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48637104110101),Xandres Gold,,,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50121202020101),Liu Jo Sport,,,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50889101080101),Frapp,ecru,plain,casual,,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50062301040101),Marc Cain,,plain,casual,buttons,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48534101060101),TONI,,,casual,Not Known,jeans,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50792701020101),Geisha,,,home-lounge;winter,Not Known,sweater,casual,Not Known,Not Known,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48122101030101),Liu Jo,,plain,casual,Not Known,jeans,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48211105080101),Doris Streich,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48534101060101),TONI,,,casual,Not Known,jeans,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48928301020101),Guess,,plain,casual,,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49607101020101),ESPRIT,,marled,casual;home-lounge;winter,Not Known,sweater,casual,Not Known,oversized-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48355401050101),Xandres Gold,multicolor,,dating,pleated,skirt,feminine,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50196703050101),Bianca,,plain,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48409501040101),Caroline Biss,multicolor;white,leaf,casual;dating,Not Known,skirt,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(44695806020101),BRAX,,,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48935101020101),Nümph,multicolor,horizontal-stripes,casual;home-lounge;winter,Not Known,sweater,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,crew-neck,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50799401020101),Tommy Hilfiger,,quilted,casual,,Not Known,casual,Not Known,regular-fit-tops,Not Known,Not Known,zipper-closure,Not Known,Not Known,Not Known,Not Known,Not Known,hooded,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50198603050101),Bianca,multicolor,text-print,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,crew-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50451901030101),March23,white,plain,casual,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49113401030101),Liu Jo White Label,,,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,crew-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49108101040101),Caroline Biss,,marled,casual;home-lounge;winter,Not Known,Not Known,casual,Not Known,oversized-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49777503050101),GERRY WEBER EDITION,,plain,casual,Not Known,jeans,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,3-4-long,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50090805020101),BRAX,,,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(51567201050101),GERRY WEBER,black,plain,casual;dating;semi-formal,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49246501030101),King Louie,black,,casual;dating,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50129501020101),Liu Jo White Label,,,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
